RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11680,강남구,10100,역삼동,1,대지,0824,0049,강남역투웨니퍼스트102동,20260904,22000,17.34,27.98,4.0,,,2019,오피스텔,중개거래,서울 강남구
2026,11470,양천구,10200,목동,1,대지,0324,0075,혜림하이빌,20260904,33000,29.43,17.0,5.0,,,2017,연립다세대,중개거래,서울 양천구
2026,11680,강남구,11200,자곡동,1,대지,0655,0000,강남 푸르지오시티 2차(PRUGIO CITYⅡ),20260904,12000,22.444,29.725,4.0,,,2014,오피스텔,중개거래,서울 강남구
2026,11710,송파구,10800,문정동,1,대지,0652,0000,송파법조타운푸르지오시티,20260904,17600,17.47,25.54,10.0,,,2018,오피스텔,중개거래,서울 송파구
2026,11545,금천구,10300,시흥동,1,대지,0943,0027,인성하이츠D동,20260904,35000,53.87,30.0,4.0,,,2004,연립다세대,중개거래,서울 금천구
2026,11530,구로구,11000,온수동,1,대지,0154,0000,리치안풍산,20260904,47000,84.99,0.0,2.0,,,2009,아파트,중개거래,서울 구로구
2026,11560,영등포구,12400,문래동6가,1,대지,0016,0002,문래파라곤,20260904,59000,68.99,85.39,12.0,,,2005,오피스텔,중개거래,서울 영등포구
2026,11500,강서구,10300,화곡동,1,대지,0029,0022,다인홈타운,20260904,18000,27.91,15.0,7.0,,,2016,연립다세대,직거래,
2026,11440,마포구,12300,망원동,1,대지,0057,0020,(57-20),20260904,21000,28.59,20.0,2.0,,,1991,연립다세대,직거래,
2026,11470,양천구,10200,목동,1,대지,0734,0013,보람빌라,20260904,23000,51.9,21.0,4.0,,,1997,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0451,0011,백운인베스트빌,20260904,22000,47.57,28.0,3.0,,,2008,연립다세대,중개거래,서울 강서구
2026,11500,강서구,10300,화곡동,1,대지,0805,0019,프라임캐슬,20260904,21500,29.16,18.0,5.0,,,2020,연립다세대,중개거래,서울 강서구
2026,11320,도봉구,10700,창동,1,대지,0818,0000,창동현대4차,20260903,99900,101.995,0.0,8.0,,,2003,아파트,중개거래,서울 도봉구
2026,11500,강서구,10300,화곡동,1,대지,0814,0019,프레스티지원(814-19),20260903,27000,29.01,19.0,2.0,,,2020,연립다세대,직거래,
2026,11650,서초구,10100,방배동,1,대지,0866,0020,방배대우디오빌,20260903,29800,29.6,0.0,8.0,,,2005,아파트,중개거래,서울 동작구
2026,11290,성북구,10300,돈암동,1,대지,0413,0111,(413-111),20260903,22500,26.64,23.0,2.0,,,2020,연립다세대,중개거래,서울 성북구
2026,11710,송파구,11100,방이동,1,대지,0131,0012,(131-12),20260903,50500,34.085,20.0,5.0,,,2016,연립다세대,중개거래,서울 송파구
2026,11290,성북구,13300,정릉동,1,대지,0780,0000,"산장아파트가동,나동",20260903,37000,52.89,0.0,1.0,,,1977,아파트,중개거래,서울 성북구
2026,11290,성북구,13900,석관동,1,대지,0340,0300,(340-300),20260903,14000,33.32,24.0,1.0,,,1994,연립다세대,직거래,
2026,11440,마포구,10300,신공덕동,1,대지,0003,0003,블루마리오피스텔,20260903,15800,18.33,35.0205,11.0,,,2017,오피스텔,중개거래,서울 마포구
2026,11440,마포구,12400,연남동,1,대지,0573,0000,코오롱,20260903,135000,102.158,0.0,11.0,,,2003,아파트,중개거래,서울 마포구
2026,11620,관악구,10200,신림동,1,대지,1474,0006,삼성 아파트,20260903,20000,48.47,73.6,2.0,,,2012,오피스텔,중개거래,서울 관악구
2026,11530,구로구,10600,고척동,1,대지,0098,0017,이호스빌3차,20260903,14500,38.18,27.0,5.0,,,2002,연립다세대,직거래,
2026,11260,중랑구,10300,중화동,1,대지,0462,0000,리버센SKVIEW롯데캐슬,20260903,130000,100.97,0.0,8.0,,,2025,아파트,직거래,
2026,11230,동대문구,10500,답십리동,1,대지,0498,0005,메트로팰리스,20260903,9000,25.47,36.46,4.0,,,2005,오피스텔,직거래,
2026,11230,동대문구,10500,답십리동,1,대지,0498,0005,메트로팰리스,20260903,7000,20.22,28.93,15.0,,,2005,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0919,0001,유림노르웨이숲(919-1),20260903,55000,64.05,0.0,7.0,,,2004,아파트,중개거래,서울 강서구
2026,11380,은평구,11400,진관동,1,대지,0014,0000,상림마을8단지롯데캐슬(801~809동)BL1-2,20260903,99000,101.93,0.0,7.0,,,2008,아파트,직거래,
